"respondent_id","report_yr","report_prd","spplmnt_num","row_num","avail_cap","plan_outage","unplan_outage","other_outage","tot_net","ex_avail_cap","ex_not_avail","tot_capability","avail_cap_f","plan_outage_f","unplan_outage_f","other_outage_f","tot_net_f","ex_avail_cap_f","ex_not_avail_f","tot_capability_f"
119,2006,12,0,600,"2030","0","99","0","2129","0","0","2129",0,0,0,0,0,0,0,0
119,2006,12,0,700,"1994","0","99","0","2093","0","0","2093",0,0,0,0,0,0,0,0
119,2006,12,0,800,"1968","25","99","0","2092","0","0","2092",0,0,0,0,0,0,0,0
119,2006,12,0,900,"1970","55","99","0","2124","0","0","2124",0,0,0,0,0,0,0,0
119,2006,12,0,1000,"1889","61","99","0","2049","0","0","2049",0,0,0,0,0,0,0,0
119,2006,12,0,1100,"1993","55","99","0","2147","0","0","2147",0,0,0,0,0,0,0,0
119,2006,12,0,1200,"1958","55","114","0","2127","0","0","2127",0,0,0,0,0,0,0,0
195,2006,12,0,100,"184","0","0","0","184","107","0","291",0,0,0,0,0,0,0,0
195,2006,12,0,200,"184","0","0","0","184","107","0","291",0,0,0,0,0,0,0,0
195,2006,12,0,300,"184","0","0","0","184","3","104","291",0,0,0,0,0,0,0,0
195,2006,12,0,400,"184","0","0","0","184","107","0","291",0,0,0,0,0,0,0,0
195,2006,12,0,500,"184","0","0","0","184","107","0","291",0,0,0,0,0,0,0,0
195,2006,12,0,600,"184","0","0","0","184","107","0","291",0,0,0,0,0,0,0,0
195,2006,12,0,700,"184","0","0","0","184","107","0","291",0,0,0,0,0,0,0,0
195,2006,12,0,800,"184","0","0","0","184","107","0","291",0,0,0,0,0,0,0,0
195,2006,12,0,900,"184","0","0","0","184","107","0","291",0,0,0,0,0,0,0,0
195,2006,12,0,1000,"184","0","0","0","184","3","104","291",0,0,0,0,0,0,0,0
195,2006,12,0,1100,"184","0","0","0","184","107","0","291",0,0,0,0,0,0,0,0
195,2006,12,0,1200,"184","0","0","0","184","107","0","291",0,0,0,0,0,0,0,0
219,2006,12,0,100,"2255","0","0","60","2315","0","0","2315",0,0,0,0,0,0,0,0
219,2006,12,0,200,"2255","-205","0","18","2068","0","0","2068",0,0,0,0,0,0,0,0
219,2006,12,0,300,"2251","-205","-204","14","1856","0","0","1856",0,0,0,0,0,0,0,0
219,2006,12,0,400,"2240","-203","0","-33","2004","0","0","2004",0,0,0,0,0,0,0,0
219,2006,12,0,500,"2225","0","0","-202","2023","0","0","2023",0,0,0,0,0,0,0,0
219,2006,12,0,600,"2198","0","0","-10","2188","0","0","2188",0,0,0,0,0,0,0,0
219,2006,12,0,700,"2169","0","-207","-107","1855","0","0","1855",0,0,0,0,0,0,0,0
219,2006,12,0,800,"2170","0","0","0","2170","0","0","2170",0,0,0,0,0,0,0,0
219,2006,12,0,900,"2187","0","-203","-112","1872","0","0","1872",0,0,0,0,0,0,0,0
219,2006,12,0,1000,"2225","0","0","39","2264","0","0","2264",0,0,0,0,0,0,0,0
219,2006,12,0,1100,"2240","0","-204","31","2067","0","0","2067",0,0,0,0,0,0,0,0
219,2006,12,0,1200,"2251","0","0","-94","2157","0","0","2157",0,0,0,0,0,0,0,0
193,2006,12,0,100,"239","167","68","0","474","392","22","888",0,0,0,0,0,0,0,0
193,2006,12,0,200,"409","61","0","0","470","396","18","884",0,0,0,0,0,0,0,0
193,2006,12,0,300,"380","74","0","0","454","337","76","867",0,0,0,0,0,0,0,0
193,2006,12,0,400,"411","27","0","0","438","325","88","851",0,0,0,0,0,0,0,0
193,2006,12,0,500,"448","0","0","0","448","224","251","923",0,0,0,0,0,0,0,0
193,2006,12,0,600,"443","0","5","0","448","411","72","931",0,0,0,0,0,0,0,0
193,2006,12,0,700,"448","0","0","0","448","477","6","931",0,0,0,0,0,0,0,0
193,2006,12,0,800,"385","63","0","0","448","433","50","931",0,0,0,0,0,0,0,0
193,2006,12,0,900,"306","47","95","0","448","404","73","925",0,0,0,0,0,0,0,0
193,2006,12,0,1000,"361","54","0","0","415","361","108","884",0,0,0,0,0,0,0,0
193,2006,12,0,1100,"395","29","0","0","424","288","125","837",0,0,0,0,0,0,0,0
193,2006,12,0,1200,"308","131","0","0","439","319","94","852",0,0,0,0,0,0,0,0
259,2006,12,0,100,"5097","540","173","0","5810","150","101","6061",0,0,0,0,0,0,0,0
259,2006,12,0,200,"4925","647","237","0","5809","251","0","6060",0,0,0,0,0,0,0,0
259,2006,12,0,300,"4950","859","0","0","5809","251","0","6060",0,0,0,0,0,0,0,0
259,2006,12,0,400,"5114","552","113","0","5779","150","101","6030",0,0,0,0,0,0,0,0
259,2006,12,0,500,"4931","172","676","0","5779","251","0","6030",0,0,0,0,0,0,0,0
259,2006,12,0,600,"5564","0","215","0","5779","271","0","6050",0,0,0,0,0,0,0,0
259,2006,12,0,700,"5779","0","50","0","5829","281","0","6110",0,0,0,0,0,0,0,0
259,2006,12,0,800,"5549","0","230","0","5779","281","0","6060",0,0,0,0,0,0,0,0
259,2006,12,0,900,"5650","0","129","0","5779","281","0","6060",0,0,0,0,0,0,0,0
259,2006,12,0,1000,"5557","122","130","0","5809","101","0","5910",0,0,0,0,0,0,0,0
259,2006,12,0,1100,"5189","377","243","0","5809","0","101","5910",0,0,0,0,0,0,0,0
